age,monthly_income,investment_knowledge,investment_experience,num_assets,time_horizon,goal_type,investment_frequency,dependents,market_sensitivity,net_worth,preferred_asset,education_level,employment_type,risk_profile,expected_return
59,7783,6,5,3,3,Education,Monthly,3,2,1978070,Mixed,Bachelors,Unemployed,Speculative,3.1
47,6594,7,6,2,7,Wealth Accumulation,Quarterly,1,1,1559906,Mixed,Bachelors,Unemployed,Speculative,2.53
33,4822,9,6,3,7,Education,Monthly,2,2,554968,Stocks,Bachelors,Retired,Speculative,2.37
29,4389,6,1,4,20,Retirement,Monthly,1,1,1295579,Stocks,Masters,Freelance,Speculative,2.84
34,6914,5,3,2,11,Education,Quarterly,3,5,96064,Bonds,Masters,Unemployed,Conservative,2.76
33,19164,2,12,2,23,Education,Yearly,0,8,498263,Mixed,Bachelors,Freelance,Speculative,3.05
29,4688,2,9,3,24,Retirement,Yearly,4,7,160247,Mixed,Masters,Freelance,Moderate,3.24
25,15683,8,8,2,3,Wealth Accumulation,Yearly,0,5,756081,Crypto,Bachelors,Retired,Speculative,4.1
37,14080,1,14,6,18,Retirement,Yearly,2,3,1265666,Mixed,High School,Unemployed,Speculative,3.09
20,10916,8,11,2,25,Wealth Accumulation,Quarterly,0,9,1297733,Stocks,PhD,Freelance,Speculative,4.03
33,6037,10,9,1,28,Wealth Accumulation,Yearly,4,4,1984291,Real Estate,High School,Unemployed,Speculative,5.93
47,14453,7,18,8,12,House,Yearly,0,3,614148,Bonds,Bachelors,Retired,Speculative,4.72
62,9640,7,4,4,23,Education,Monthly,1,4,1736294,Stocks,High School,Retired,Speculative,2.0
40,1081,5,6,2,17,Wealth Accumulation,Quarterly,3,1,1965057,Real Estate,High School,Salaried,Speculative,5.1
45,7278,3,19,4,26,Wealth Accumulation,Monthly,0,7,1936343,Mixed,PhD,Retired,Speculative,4.24
68,17078,7,10,2,26,Retirement,Monthly,3,0,1733127,Stocks,Masters,Salaried,Speculative,2.6
57,16536,7,15,5,9,Wealth Accumulation,Yearly,3,8,992469,Mixed,PhD,Salaried,Speculative,3.13
22,18790,7,12,7,5,Wealth Accumulation,Yearly,3,0,1685366,Crypto,High School,Freelance,Speculative,4.73
37,8410,2,3,6,18,Retirement,Quarterly,1,4,1399761,Crypto,Bachelors,Unemployed,Speculative,3.56
57,16926,3,15,2,23,Wealth Accumulation,Monthly,3,8,176457,Bonds,Masters,Salaried,Aggressive,3.88
61,16500,3,12,4,9,Education,Yearly,0,0,423528,Real Estate,Bachelors,Salaried,Speculative,2.43
18,2480,4,0,8,13,Education,Monthly,3,0,1554608,Stocks,Bachelors,Unemployed,Speculative,2.78
47,10271,9,3,7,3,Retirement,Yearly,1,2,1647581,Bonds,Bachelors,Salaried,Speculative,2.9
38,4598,10,14,7,4,Wealth Accumulation,Yearly,3,7,616137,Mixed,High School,Unemployed,Speculative,4.53
37,16032,1,15,4,25,Education,Yearly,0,2,1980999,Stocks,PhD,Retired,Speculative,3.37
23,8993,7,3,1,18,House,Yearly,1,1,1394318,Stocks,High School,Freelance,Speculative,3.36
39,11895,7,16,7,20,Retirement,Quarterly,2,5,1105275,Mixed,Masters,Freelance,Speculative,3.78
35,16367,4,10,6,21,Retirement,Monthly,2,9,31536,Bonds,PhD,Freelance,Conservative,2.21
25,8644,1,4,8,15,Education,Monthly,0,4,629762,Bonds,Bachelors,Retired,Speculative,2.0
56,12948,3,12,5,20,Retirement,Quarterly,4,10,1181190,Crypto,High School,Unemployed,Speculative,4.07
49,19142,5,11,8,23,Wealth Accumulation,Quarterly,3,8,45364,Stocks,PhD,Freelance,Moderate,3.41
50,3599,2,2,8,6,Education,Quarterly,4,10,639795,Bonds,PhD,Unemployed,Aggressive,2.71
33,6813,7,3,9,9,House,Yearly,1,2,1909157,Stocks,PhD,Retired,Speculative,3.22
29,4853,10,9,1,11,Wealth Accumulation,Yearly,3,3,1794861,Crypto,Bachelors,Freelance,Speculative,3.2
55,19676,10,8,3,29,House,Monthly,4,10,1057838,Real Estate,High School,Freelance,Speculative,4.57
69,2501,7,9,6,29,House,Quarterly,0,9,956954,Real Estate,Bachelors,Freelance,Speculative,3.66
51,9422,10,12,4,13,Retirement,Monthly,1,7,1555077,Crypto,Bachelors,Salaried,Speculative,3.08
31,8550,5,0,8,4,House,Quarterly,3,10,181558,Stocks,Bachelors,Salaried,Conservative,2.55
53,5250,10,11,1,27,Wealth Accumulation,Monthly,2,1,1901485,Bonds,High School,Retired,Speculative,2.71
50,7991,6,10,5,15,Education,Quarterly,3,4,234776,Bonds,High School,Salaried,Aggressive,2.9
40,17498,1,7,4,25,Education,Quarterly,1,8,1214956,Mixed,High School,Unemployed,Speculative,3.26
67,5406,4,13,1,17,House,Yearly,2,10,149329,Bonds,High School,Unemployed,Moderate,3.33
62,19731,4,13,6,12,House,Monthly,0,8,472534,Stocks,Masters,Retired,Speculative,2.79
19,2041,8,19,3,6,Education,Yearly,3,9,1253196,Stocks,Bachelors,Retired,Speculative,3.35
58,7927,2,16,5,7,House,Yearly,4,8,589433,Crypto,High School,Unemployed,Speculative,3.41
38,17395,1,18,6,25,Wealth Accumulation,Monthly,4,10,642029,Mixed,High School,Unemployed,Speculative,2.32
19,8871,7,19,4,17,House,Yearly,0,0,1350002,Bonds,Bachelors,Salaried,Speculative,2.79
44,7375,6,16,6,11,House,Quarterly,1,0,1868522,Stocks,PhD,Salaried,Speculative,3.31
26,4676,5,5,7,12,Wealth Accumulation,Quarterly,0,0,1595019,Stocks,Bachelors,Unemployed,Speculative,2.05
18,14017,8,13,2,28,Education,Quarterly,1,7,916010,Real Estate,Bachelors,Freelance,Speculative,3.42
28,4065,2,17,7,13,Education,Quarterly,2,3,1118984,Stocks,PhD,Unemployed,Speculative,3.57
20,3036,2,16,7,1,House,Yearly,1,8,1632732,Mixed,High School,Freelance,Speculative,2.27
69,4046,9,5,2,18,Education,Monthly,2,10,96757,Bonds,Masters,Unemployed,Conservative,2.69
40,17924,1,4,3,22,Wealth Accumulation,Yearly,3,5,1173825,Real Estate,PhD,Unemployed,Speculative,2.0
43,1076,6,12,3,19,House,Monthly,3,2,1079581,Stocks,Masters,Retired,Speculative,3.42
21,16880,3,15,1,11,House,Monthly,0,7,1411340,Mixed,PhD,Unemployed,Speculative,3.33
35,17407,5,8,1,22,House,Yearly,0,0,409667,Crypto,Masters,Freelance,Speculative,3.16
23,18059,8,11,6,18,Retirement,Yearly,3,1,249461,Bonds,Masters,Freelance,Speculative,4.92
52,5267,7,9,9,29,Retirement,Quarterly,4,7,1613739,Crypto,PhD,Retired,Speculative,4.67
39,6988,4,12,9,10,Wealth Accumulation,Monthly,2,0,484112,Mixed,Bachelors,Retired,Speculative,2.08
60,9680,8,18,1,6,House,Monthly,3,10,363611,Crypto,Masters,Salaried,Speculative,4.03
32,2485,10,15,7,23,Wealth Accumulation,Monthly,4,4,467189,Bonds,Masters,Retired,Speculative,3.16
39,15713,2,16,6,22,Retirement,Quarterly,1,2,382144,Mixed,Masters,Unemployed,Speculative,4.17
54,3419,7,15,4,2,House,Monthly,3,1,1021681,Stocks,Masters,Retired,Speculative,3.16
69,16312,5,13,3,5,Retirement,Monthly,4,3,1723774,Crypto,PhD,Retired,Speculative,4.06
59,4495,6,15,9,10,House,Quarterly,3,1,438101,Real Estate,Bachelors,Salaried,Speculative,3.92
29,18140,3,14,5,15,Wealth Accumulation,Yearly,1,4,1445339,Crypto,PhD,Salaried,Speculative,3.01
64,11716,10,11,8,29,Wealth Accumulation,Quarterly,1,7,308193,Mixed,PhD,Freelance,Aggressive,3.11
66,13442,7,4,4,14,Wealth Accumulation,Quarterly,2,3,424459,Real Estate,PhD,Unemployed,Aggressive,3.51
59,19163,7,10,4,6,Retirement,Yearly,1,6,695482,Mixed,Bachelors,Freelance,Speculative,3.67
55,13961,2,4,6,14,Wealth Accumulation,Monthly,1,4,813870,Mixed,High School,Freelance,Speculative,2.0
35,11307,1,10,6,24,Education,Yearly,2,8,1299931,Real Estate,Bachelors,Salaried,Speculative,5.03
62,7487,10,1,3,25,Education,Monthly,3,1,13297,Mixed,Masters,Salaried,Conservative,3.16
52,10664,2,18,2,21,Wealth Accumulation,Quarterly,3,1,62011,Real Estate,PhD,Retired,Aggressive,3.43
47,17360,8,16,9,14,Wealth Accumulation,Monthly,2,0,1268818,Stocks,PhD,Retired,Speculative,4.41
41,17642,10,18,2,12,Retirement,Quarterly,3,3,813246,Mixed,PhD,Unemployed,Speculative,2.75
59,5075,3,11,9,23,House,Monthly,3,7,1595891,Stocks,PhD,Salaried,Speculative,2.07
47,18502,4,19,8,4,Retirement,Quarterly,4,4,59302,Bonds,High School,Retired,Aggressive,2.0
31,16285,8,4,7,26,Retirement,Monthly,2,4,1303481,Crypto,High School,Salaried,Speculative,2.0
23,8631,3,11,5,12,Wealth Accumulation,Monthly,2,3,311055,Stocks,PhD,Freelance,Speculative,3.43
20,4017,6,15,3,21,Education,Monthly,0,6,1801182,Crypto,Bachelors,Freelance,Speculative,3.19
33,19042,2,0,2,17,Education,Yearly,4,9,1590007,Real Estate,High School,Freelance,Speculative,3.1
24,19181,3,1,8,29,Education,Quarterly,3,7,346646,Bonds,Bachelors,Unemployed,Moderate,2.4
69,1784,1,9,2,19,Retirement,Quarterly,0,8,708552,Real Estate,High School,Freelance,Speculative,4.29
31,6691,9,1,8,16,Education,Quarterly,4,5,1771126,Mixed,Masters,Unemployed,Speculative,3.23
26,16765,4,9,5,18,Education,Yearly,3,8,1496721,Crypto,Masters,Salaried,Speculative,2.0
32,4196,6,17,9,6,Wealth Accumulation,Yearly,4,10,254768,Real Estate,Masters,Unemployed,Aggressive,2.83
38,10552,7,0,4,9,Education,Yearly,1,0,277983,Crypto,High School,Unemployed,Aggressive,5.35
52,9532,2,4,8,26,House,Yearly,3,2,1526998,Mixed,Bachelors,Salaried,Speculative,2.13
19,17946,8,11,7,19,Wealth Accumulation,Monthly,4,0,1766136,Mixed,High School,Retired,Speculative,4.07
44,5746,9,16,8,12,House,Quarterly,4,10,417847,Crypto,Masters,Salaried,Speculative,4.82
19,3999,10,18,5,11,Retirement,Monthly,0,4,1695260,Bonds,High School,Salaried,Speculative,4.14
52,18577,2,17,2,28,Education,Yearly,4,7,873821,Crypto,Masters,Salaried,Speculative,2.03
35,12302,5,12,7,16,Retirement,Yearly,1,5,1746847,Crypto,Masters,Salaried,Speculative,3.3
31,17452,2,2,3,2,Retirement,Monthly,1,9,272209,Real Estate,Bachelors,Freelance,Conservative,2.0
37,16595,5,9,2,18,Education,Quarterly,4,4,1227294,Crypto,PhD,Unemployed,Speculative,4.17
35,19812,7,13,3,6,Wealth Accumulation,Yearly,3,0,1043287,Bonds,Masters,Freelance,Speculative,3.56
27,7200,6,7,4,26,Retirement,Monthly,0,0,1718476,Bonds,Bachelors,Freelance,Speculative,5.15
42,6396,4,9,7,22,Education,Monthly,3,4,736936,Crypto,PhD,Retired,Speculative,3.86
19,14410,2,1,1,5,Education,Monthly,4,4,175019,Stocks,High School,Freelance,Moderate,2.0
42,14203,7,12,6,9,House,Monthly,1,7,390944,Crypto,PhD,Unemployed,Speculative,3.14
50,4598,10,4,6,13,Retirement,Quarterly,2,1,744559,Real Estate,PhD,Freelance,Speculative,2.0
53,11564,9,10,8,7,Retirement,Quarterly,0,6,915009,Stocks,Bachelors,Salaried,Speculative,5.04
48,13748,1,0,2,23,Education,Yearly,3,4,238049,Mixed,Bachelors,Unemployed,Conservative,2.0
31,17957,3,9,2,27,House,Yearly,1,1,1382601,Mixed,Masters,Salaried,Speculative,4.15
18,8636,7,12,1,1,Wealth Accumulation,Quarterly,3,4,360553,Stocks,PhD,Freelance,Speculative,4.28
63,18862,9,3,3,10,House,Quarterly,4,8,1290918,Crypto,Masters,Retired,Speculative,2.73
33,11265,5,9,7,26,Retirement,Monthly,3,4,483123,Mixed,Bachelors,Freelance,Speculative,4.5
63,10705,7,11,8,18,House,Monthly,0,4,1523782,Real Estate,Masters,Unemployed,Speculative,3.61
69,15298,10,13,7,12,Retirement,Monthly,2,10,268340,Mixed,PhD,Freelance,Aggressive,5.91
20,19580,7,2,9,3,Wealth Accumulation,Yearly,2,1,250330,Real Estate,High School,Freelance,Moderate,2.0
52,10703,4,1,8,5,Retirement,Yearly,4,8,1117036,Stocks,High School,Salaried,Speculative,4.35
58,14336,5,18,8,14,Wealth Accumulation,Yearly,0,1,559616,Real Estate,Masters,Retired,Speculative,4.2
23,9166,2,10,2,27,Wealth Accumulation,Yearly,2,4,1430873,Bonds,Bachelors,Retired,Speculative,2.36
42,17116,8,6,1,15,Wealth Accumulation,Monthly,1,1,1901311,Bonds,High School,Salaried,Speculative,4.8
30,7050,1,17,6,12,House,Yearly,3,1,1206841,Bonds,PhD,Freelance,Speculative,2.61
51,12184,2,13,7,4,Wealth Accumulation,Yearly,4,5,1358538,Bonds,Bachelors,Unemployed,Speculative,4.72
25,13712,3,6,6,24,Education,Monthly,1,9,1811534,Stocks,High School,Unemployed,Speculative,2.08
38,9484,7,6,7,16,Retirement,Monthly,4,2,179934,Real Estate,PhD,Retired,Moderate,3.21
51,3593,6,8,8,11,Retirement,Quarterly,0,9,691820,Crypto,High School,Retired,Speculative,3.51
21,11315,7,11,2,4,Retirement,Monthly,4,8,146440,Bonds,Masters,Retired,Moderate,5.09
42,16200,5,5,1,6,Retirement,Yearly,2,5,1118841,Bonds,PhD,Salaried,Speculative,3.19
32,10107,4,6,8,25,Wealth Accumulation,Monthly,0,9,1581774,Mixed,Masters,Salaried,Speculative,2.0
21,4869,7,3,8,16,House,Yearly,4,9,1005439,Bonds,PhD,Freelance,Speculative,2.96
62,16447,3,15,8,2,House,Quarterly,1,1,1418461,Crypto,Bachelors,Salaried,Speculative,2.15
29,8971,10,6,7,13,House,Quarterly,0,0,314186,Crypto,Masters,Freelance,Speculative,5.48
49,3989,7,7,2,8,House,Quarterly,0,1,1400794,Mixed,Masters,Freelance,Speculative,3.24
49,6340,2,7,4,12,Retirement,Yearly,4,9,1599205,Stocks,PhD,Freelance,Speculative,2.2
45,10643,8,19,9,21,Education,Yearly,4,5,342032,Stocks,Masters,Unemployed,Speculative,3.37
30,4823,6,2,8,26,Education,Quarterly,0,1,20970,Real Estate,PhD,Salaried,Conservative,4.24
48,14454,3,8,4,6,House,Quarterly,3,6,905597,Crypto,High School,Freelance,Speculative,4.9
31,4932,3,18,8,3,Retirement,Yearly,3,6,676906,Crypto,PhD,Freelance,Speculative,4.07
37,11220,5,12,6,15,Wealth Accumulation,Yearly,2,0,1739796,Bonds,Bachelors,Retired,Speculative,2.48
35,9554,3,6,9,8,House,Yearly,0,5,1992225,Bonds,Bachelors,Freelance,Speculative,3.15
46,3429,6,19,1,2,Wealth Accumulation,Yearly,3,4,1932340,Bonds,PhD,Unemployed,Speculative,2.7
23,8444,2,14,6,16,Wealth Accumulation,Quarterly,1,7,42042,Real Estate,PhD,Salaried,Moderate,3.43
49,11510,8,18,4,13,Wealth Accumulation,Quarterly,0,7,901859,Crypto,Bachelors,Freelance,Speculative,2.75
46,12277,9,1,3,1,Education,Monthly,3,8,1744928,Bonds,Masters,Freelance,Speculative,4.38
60,11537,7,11,5,11,House,Monthly,4,1,504255,Bonds,Bachelors,Salaried,Speculative,2.75
19,8147,3,7,8,28,Retirement,Yearly,1,10,78510,Crypto,Bachelors,Freelance,Moderate,2.72
40,8631,10,7,6,1,Retirement,Quarterly,2,0,897546,Bonds,High School,Retired,Speculative,3.91
36,4598,4,12,1,8,Retirement,Yearly,3,9,1852754,Mixed,PhD,Freelance,Speculative,3.16
48,5329,10,0,6,2,House,Monthly,4,5,1517925,Mixed,Bachelors,Salaried,Speculative,4.2
68,7718,2,9,7,13,Education,Yearly,1,1,691644,Stocks,Masters,Salaried,Speculative,3.23
22,10923,9,8,6,29,Wealth Accumulation,Monthly,1,4,1179432,Crypto,High School,Freelance,Speculative,3.38
36,14782,5,1,3,21,Retirement,Monthly,2,0,936944,Mixed,High School,Unemployed,Speculative,3.29
51,17476,2,18,9,2,Education,Quarterly,4,0,1961546,Crypto,High School,Unemployed,Speculative,3.71
27,1051,10,13,4,27,Wealth Accumulation,Yearly,3,4,443238,Real Estate,PhD,Salaried,Speculative,4.38
42,17702,6,9,5,4,Wealth Accumulation,Quarterly,0,5,1019659,Crypto,Bachelors,Unemployed,Speculative,2.0
19,11184,7,9,5,25,Education,Monthly,1,10,464975,Stocks,PhD,Unemployed,Speculative,4.48
28,13468,2,7,3,2,House,Monthly,3,6,1137858,Stocks,High School,Unemployed,Speculative,2.51
67,16479,1,13,2,13,House,Yearly,0,10,1313560,Real Estate,High School,Retired,Speculative,2.0
48,8210,7,12,8,4,Education,Yearly,3,3,1901853,Crypto,High School,Unemployed,Speculative,2.26
32,13934,1,5,7,29,Wealth Accumulation,Yearly,3,3,1259053,Crypto,Bachelors,Retired,Speculative,4.41
26,4956,3,12,5,26,Retirement,Yearly,1,4,798303,Mixed,High School,Retired,Speculative,3.93
40,7057,4,2,1,21,Retirement,Monthly,1,5,1227942,Mixed,Bachelors,Unemployed,Speculative,2.0
36,12210,2,19,1,26,House,Monthly,3,7,1598267,Stocks,PhD,Salaried,Speculative,3.59
26,15590,7,12,8,15,Retirement,Monthly,3,8,548600,Crypto,Masters,Freelance,Speculative,3.01
52,14864,5,18,4,29,Wealth Accumulation,Quarterly,2,6,1774837,Bonds,PhD,Unemployed,Speculative,3.52
38,2525,1,15,4,26,Education,Quarterly,0,9,165984,Mixed,PhD,Unemployed,Moderate,2.0
26,14277,8,3,9,21,Wealth Accumulation,Quarterly,4,2,1181101,Crypto,Bachelors,Salaried,Speculative,3.76
45,8043,10,2,2,12,Retirement,Yearly,4,5,1816446,Real Estate,PhD,Retired,Speculative,3.89
63,18662,7,14,5,12,Wealth Accumulation,Monthly,2,8,826215,Mixed,Masters,Unemployed,Speculative,3.4
68,9705,4,14,6,5,House,Quarterly,3,5,1464964,Stocks,Masters,Salaried,Speculative,3.34
24,7125,2,17,6,29,Education,Yearly,3,10,1930424,Stocks,Masters,Retired,Speculative,2.52
33,8874,7,6,3,10,Education,Yearly,2,9,1605217,Stocks,PhD,Salaried,Speculative,3.05
33,13529,2,19,6,26,Retirement,Yearly,4,7,1091563,Stocks,High School,Unemployed,Speculative,4.71
50,15955,6,4,5,2,Retirement,Monthly,1,7,365858,Crypto,Bachelors,Freelance,Speculative,2.96
21,3500,1,7,8,8,Wealth Accumulation,Yearly,1,3,951710,Crypto,Bachelors,Freelance,Speculative,4.06
21,4464,7,9,4,27,Wealth Accumulation,Quarterly,3,6,1938651,Mixed,High School,Unemployed,Speculative,2.85
56,19643,7,0,3,5,Education,Yearly,0,6,1773429,Bonds,Bachelors,Freelance,Speculative,3.35
57,16954,4,10,6,22,House,Monthly,4,6,609442,Stocks,PhD,Unemployed,Speculative,3.51
34,1255,4,2,9,8,House,Monthly,0,7,1352572,Bonds,High School,Freelance,Speculative,2.75
54,2502,10,2,8,24,Retirement,Yearly,3,1,652760,Stocks,High School,Retired,Speculative,4.87
56,5656,5,14,8,13,House,Monthly,4,1,1958421,Mixed,PhD,Retired,Speculative,3.91
69,11302,2,16,3,29,Education,Monthly,1,5,1870858,Real Estate,PhD,Retired,Speculative,4.31
46,6430,9,17,1,13,House,Quarterly,1,10,332783,Stocks,Bachelors,Salaried,Speculative,2.92
69,9598,10,7,3,26,Education,Quarterly,0,5,405922,Real Estate,PhD,Salaried,Speculative,5.19
53,16976,4,12,3,23,Retirement,Yearly,4,4,1016692,Stocks,Masters,Freelance,Speculative,3.08
55,2860,9,9,6,15,Wealth Accumulation,Monthly,3,1,1875525,Bonds,Masters,Unemployed,Speculative,4.41
56,7158,3,2,3,15,House,Monthly,2,7,119939,Stocks,PhD,Unemployed,Moderate,2.07
67,6806,9,19,2,24,Education,Monthly,2,2,1871509,Bonds,Masters,Retired,Speculative,2.98
54,18106,1,13,9,26,Retirement,Quarterly,2,0,1272419,Real Estate,High School,Unemployed,Speculative,4.7
69,10474,7,12,6,11,Education,Monthly,3,0,220723,Crypto,Masters,Freelance,Speculative,2.94
52,17997,4,2,5,23,House,Quarterly,2,6,97184,Real Estate,High School,Freelance,Conservative,2.51
24,6790,7,12,3,10,Education,Monthly,0,6,391236,Crypto,High School,Salaried,Speculative,2.86
44,11170,10,19,7,6,Retirement,Quarterly,1,5,1884015,Mixed,Masters,Retired,Speculative,2.0
45,10004,6,8,7,5,Retirement,Yearly,2,5,1895506,Mixed,PhD,Retired,Speculative,3.47
39,10978,4,15,4,5,Wealth Accumulation,Yearly,1,4,891267,Mixed,Masters,Unemployed,Speculative,5.03
31,17714,4,7,2,8,Wealth Accumulation,Monthly,0,5,969659,Mixed,High School,Unemployed,Speculative,2.37
24,19596,8,11,2,1,House,Monthly,4,1,1936915,Stocks,PhD,Freelance,Speculative,2.84
54,8232,7,11,8,2,Retirement,Quarterly,4,4,1311105,Real Estate,High School,Unemployed,Speculative,3.64
39,13674,4,18,4,17,House,Quarterly,3,1,658280,Bonds,Masters,Salaried,Speculative,3.84
22,17052,6,16,7,29,Retirement,Quarterly,1,2,673115,Stocks,Bachelors,Unemployed,Speculative,3.0
19,16774,6,14,3,26,House,Monthly,3,4,1300093,Stocks,PhD,Salaried,Speculative,2.2
44,6913,1,17,9,7,Retirement,Quarterly,2,0,1196329,Mixed,High School,Salaried,Speculative,3.79
38,15102,2,6,9,29,House,Monthly,3,10,763550,Stocks,PhD,Salaried,Speculative,2.5
55,16389,4,12,7,25,Education,Quarterly,0,2,199556,Bonds,High School,Retired,Aggressive,4.03
32,11567,6,18,7,23,Wealth Accumulation,Monthly,3,9,169754,Real Estate,Masters,Salaried,Aggressive,2.53
38,6611,6,15,1,9,Education,Quarterly,2,5,1027071,Mixed,Masters,Salaried,Speculative,3.13
27,10432,1,10,8,4,Wealth Accumulation,Quarterly,2,1,529003,Mixed,Masters,Freelance,Speculative,2.23
40,1319,8,4,2,7,House,Quarterly,0,2,174976,Bonds,High School,Unemployed,Moderate,2.8
56,13686,2,1,8,28,Retirement,Monthly,1,8,549235,Stocks,Masters,Freelance,Speculative,2.14
22,5791,5,0,2,10,Retirement,Yearly,4,7,361608,Bonds,Bachelors,Unemployed,Moderate,3.14
18,1329,4,15,1,16,House,Yearly,0,2,1861704,Crypto,Bachelors,Freelance,Speculative,3.28
30,9851,5,4,8,10,Retirement,Monthly,4,6,1683973,Real Estate,Masters,Freelance,Speculative,3.41
38,12310,5,6,4,7,House,Monthly,0,3,949260,Real Estate,High School,Unemployed,Speculative,3.42
43,11164,10,8,6,26,Education,Yearly,0,6,341056,Bonds,Masters,Unemployed,Aggressive,2.32
67,19177,8,3,1,26,House,Yearly,3,4,481309,Real Estate,Masters,Salaried,Aggressive,4.8
62,6703,10,18,9,2,Retirement,Quarterly,3,1,1026354,Real Estate,High School,Freelance,Speculative,5.11
38,11649,7,19,7,2,Retirement,Quarterly,3,5,1895561,Stocks,Bachelors,Retired,Speculative,2.93
35,13672,9,14,5,8,House,Monthly,0,0,1716560,Mixed,Bachelors,Salaried,Speculative,2.27
54,5155,1,6,6,14,House,Yearly,3,5,343667,Mixed,High School,Salaried,Moderate,2.36
62,3611,6,17,3,18,House,Yearly,0,0,1382670,Mixed,Masters,Salaried,Speculative,2.71
49,19977,6,4,9,1,House,Monthly,3,2,1944311,Bonds,Masters,Unemployed,Speculative,2.84
53,17479,2,12,2,17,Wealth Accumulation,Yearly,4,10,955548,Bonds,High School,Freelance,Speculative,2.92
34,10180,8,2,1,17,Wealth Accumulation,Quarterly,1,9,757966,Mixed,Bachelors,Retired,Speculative,2.0
52,10304,6,5,1,22,Education,Yearly,3,6,475586,Crypto,High School,Unemployed,Speculative,2.08
66,15610,10,11,2,5,Wealth Accumulation,Yearly,2,1,1213072,Crypto,PhD,Salaried,Speculative,2.33
28,9437,9,17,6,16,Retirement,Quarterly,1,8,33791,Stocks,High School,Retired,Aggressive,4.23
38,11350,10,17,6,7,Wealth Accumulation,Yearly,2,2,101167,Bonds,Bachelors,Retired,Aggressive,3.18
69,13521,5,3,9,15,Wealth Accumulation,Quarterly,1,2,607696,Mixed,High School,Retired,Speculative,3.95
43,7560,7,19,4,19,Retirement,Quarterly,3,6,1840258,Crypto,PhD,Freelance,Speculative,2.23
21,6247,6,13,8,21,Wealth Accumulation,Quarterly,4,0,1020922,Mixed,Masters,Retired,Speculative,3.73
51,5077,5,13,4,2,House,Yearly,3,4,1439544,Real Estate,Masters,Retired,Speculative,3.78
69,11858,6,0,3,27,Wealth Accumulation,Quarterly,0,9,313619,Crypto,PhD,Freelance,Aggressive,3.03
65,12391,4,10,4,16,Wealth Accumulation,Monthly,2,2,1198451,Mixed,PhD,Freelance,Speculative,3.94
35,11946,3,8,1,25,Wealth Accumulation,Yearly,1,0,1329643,Bonds,High School,Salaried,Speculative,2.42
57,16186,1,17,9,9,House,Quarterly,4,6,704976,Bonds,High School,Retired,Speculative,4.09
52,2417,1,4,5,20,House,Monthly,2,9,1092625,Real Estate,Bachelors,Salaried,Speculative,2.16
58,17494,6,9,7,18,Education,Monthly,4,6,1623544,Real Estate,High School,Salaried,Speculative,2.89
46,9954,9,14,3,10,Education,Quarterly,2,8,1756625,Stocks,PhD,Retired,Speculative,4.22
69,14591,8,9,5,24,House,Monthly,3,6,1688179,Mixed,Masters,Freelance,Speculative,4.76
46,8391,2,15,4,20,Retirement,Quarterly,0,3,1440408,Crypto,Bachelors,Unemployed,Speculative,2.0
55,12364,9,3,7,21,Education,Monthly,2,2,1281645,Crypto,PhD,Unemployed,Speculative,2.24
59,11371,8,3,5,4,Wealth Accumulation,Yearly,4,5,1176715,Crypto,High School,Salaried,Speculative,3.47
38,3504,9,7,2,2,Wealth Accumulation,Quarterly,3,5,1322439,Stocks,PhD,Freelance,Speculative,4.56
59,6239,4,5,3,14,Wealth Accumulation,Monthly,1,1,1155607,Mixed,Masters,Salaried,Speculative,2.0
30,17676,9,10,8,22,Retirement,Monthly,1,6,821432,Real Estate,High School,Retired,Speculative,2.0
66,19118,2,12,3,1,Education,Quarterly,3,0,694647,Stocks,High School,Salaried,Speculative,4.96
58,6120,1,18,7,28,House,Yearly,1,8,1361387,Real Estate,Bachelors,Unemployed,Speculative,5.9
34,7393,9,10,5,8,House,Quarterly,4,1,852002,Stocks,High School,Unemployed,Speculative,3.74
26,3196,10,1,7,11,Retirement,Monthly,0,2,1957773,Stocks,Bachelors,Unemployed,Speculative,2.84
58,4466,8,2,9,1,House,Quarterly,3,5,1299951,Crypto,PhD,Unemployed,Speculative,3.09
18,2906,7,14,7,5,Retirement,Yearly,0,10,214721,Stocks,Bachelors,Salaried,Speculative,2.0
19,19105,8,12,6,25,House,Monthly,0,6,1922691,Crypto,PhD,Salaried,Speculative,3.53
65,12883,1,9,1,13,House,Yearly,3,0,257447,Crypto,High School,Unemployed,Speculative,2.0
46,16437,9,4,4,17,Retirement,Yearly,2,2,1648549,Crypto,Bachelors,Freelance,Speculative,2.45
50,15497,10,10,8,10,House,Monthly,4,5,668501,Bonds,PhD,Unemployed,Speculative,3.33
27,2816,9,13,1,23,Education,Yearly,3,3,1374388,Crypto,Bachelors,Unemployed,Speculative,3.87
67,11713,9,19,6,7,House,Monthly,4,4,1809657,Mixed,Bachelors,Retired,Speculative,4.85
57,4849,6,14,2,13,Wealth Accumulation,Yearly,0,2,1709860,Mixed,PhD,Freelance,Speculative,2.0
38,7849,4,12,9,21,Retirement,Yearly,0,7,1120867,Stocks,Bachelors,Retired,Speculative,6.16
45,2058,2,2,8,4,House,Monthly,2,0,1292317,Real Estate,PhD,Unemployed,Speculative,2.97
28,12730,4,8,9,25,Education,Yearly,0,10,1651366,Mixed,High School,Retired,Speculative,2.0
